name	term	lev	seq	value
"membrane organization"	GO:0061024	3	Cluster14655	1.17299551180923
"membrane organization"	GO:0061024	3	Cluster15735	0.714021650112649
"membrane organization"	GO:0061024	3	Cluster8954	-1.49186278884646
"membrane organization"	GO:0061024	3	Cluster10231	-0.0730656533796514
"membrane organization"	GO:0061024	3	Cluster15611	-1.46040204551596
"membrane organization"	GO:0061024	3	Cluster366	1.34258806386619
"membrane organization"	GO:0061024	3	Cluster23028	0.554184988114308
"membrane organization"	GO:0061024	3	Cluster3359	-1.43750015556938
"membrane organization"	GO:0061024	3	Cluster21598	1.34185494322123
"membrane organization"	GO:0061024	3	Cluster57410	-0.61913691161084
"membrane organization"	GO:0061024	3	Cluster510	1.34572571007684
"membrane organization"	GO:0061024	3	Cluster416	0.134892492013602
"membrane organization"	GO:0061024	3	Cluster27344	1.41529900369241
"membrane organization"	GO:0061024	3	Cluster26277	-0.0701312265896261
"membrane organization"	GO:0061024	3	Cluster18549	1.13704871684648
"membrane organization"	GO:0061024	3	Cluster2116	0.678358969166662
"membrane organization"	GO:0061024	3	Cluster21496	-0.0354783422792885
"membrane organization"	GO:0061024	3	Cluster12105	0.023469235224889
"membrane organization"	GO:0061024	3	Cluster901	1.08872283678005
"membrane organization"	GO:0061024	3	Cluster27333	0.288346063107569
"membrane organization"	GO:0061024	3	Cluster364	-1.39496545483768
"membrane organization"	GO:0061024	3	Cluster288977	-1.08000182385304
"membrane organization"	GO:0061024	3	Cluster485513	0.812899394288734
"membrane organization"	GO:0061024	3	Cluster5560	-0.33160808377811
"membrane organization"	GO:0061024	3	Cluster21110	0.482240438420577
"membrane organization"	GO:0061024	3	Cluster22610	-1.16885521659625
"membrane organization"	GO:0061024	3	Cluster30522	1.40578625261462
"membrane organization"	GO:0061024	3	Cluster23636	1.05216201920815
"membrane organization"	GO:0061024	3	Cluster2415	0.0334621325526291
"membrane organization"	GO:0061024	3	Cluster7795	-1.15214756819745
"membrane organization"	GO:0061024	3	Cluster21433	1.22219830329309
"membrane organization"	GO:0061024	3	Cluster3033	-1.23205534459925
"membrane organization"	GO:0061024	3	Cluster18800	-1.10604815095792
"membrane organization"	GO:0061024	3	Cluster3971	0.438301502572105
"membrane organization"	GO:0061024	3	Cluster709	1.09549615406605
"membrane organization"	GO:0061024	3	Cluster42425	-0.310829799275537
"membrane organization"	GO:0061024	3	Cluster1278	0.454934450226711
"membrane organization"	GO:0061024	3	Cluster30058	1.22049366102451
"membrane organization"	GO:0061024	3	Cluster31698	1.2601795530695
"membrane organization"	GO:0061024	3	Cluster98202	0.342135324758302
"membrane organization"	GO:0061024	3	Cluster4491	-1.41232857279408
"membrane organization"	GO:0061024	3	Cluster17362	-0.108361817025632
"membrane organization"	GO:0061024	3	Cluster1606	1.26866557042799
"membrane organization"	GO:0061024	3	Cluster33899	-0.964087681661576
"membrane organization"	GO:0061024	3	Cluster687	-0.663607560332232
"membrane organization"	GO:0061024	3	Cluster50540	-0.747940111840236
"membrane organization"	GO:0061024	3	Cluster125	0.450929573470053
"membrane organization"	GO:0061024	3	Cluster21081	0.482285221492836
"membrane organization"	GO:0061024	3	Cluster254384	0.476879713887171
"membrane organization"	GO:0061024	3	Cluster14717	-1.39954583312793
"membrane organization"	GO:0061024	3	Cluster75701	-0.348905460457733
"membrane organization"	GO:0061024	3	Cluster11159	-1.04292461625826
"membrane organization"	GO:0061024	3	Cluster26888	0.461401537127483
"membrane organization"	GO:0061024	3	Cluster162963	-0.491363398611363
"membrane organization"	GO:0061024	3	Cluster25301	-0.992480740094708
"membrane organization"	GO:0061024	3	Cluster24877	-1.46381051521212
"membrane organization"	GO:0061024	3	Cluster13455	-0.859106024691707
"membrane organization"	GO:0061024	3	Cluster561	0.749383054459775
"membrane organization"	GO:0061024	3	Cluster11046	-0.972886319726738
"membrane organization"	GO:0061024	3	Cluster28754	1.44786405433292
"membrane organization"	GO:0061024	3	Cluster16277	0.796292773041363
"membrane organization"	GO:0061024	3	Cluster23978	-0.31997287944687
"DNA metabolic process"	GO:0006259	4	Cluster1886	0.316092198590658
"DNA metabolic process"	GO:0006259	4	Cluster30658	0.970726133805653
"DNA metabolic process"	GO:0006259	4	Cluster45815	-0.170447494075709
"DNA metabolic process"	GO:0006259	4	Cluster2988	-0.0658808760585381
"DNA metabolic process"	GO:0006259	4	Cluster4644	0.00773109234888775
"DNA metabolic process"	GO:0006259	4	Cluster20157	-0.288077776358824
